All isotopes,Selected isotope,Selected label,LoD
[24Mg]+ (g),[24Mg]+ (g),,1.00E-16
[25Mg]+ (g),,,1.00E-16
[27Al]+ (g),[27Al]+ (g),,1.00E-16
[28Si]+ (g),[28Si]+ (g),,1.00E-16
[43Ca]+ (g),[43Ca]+ (g),,1.00E-16
[47Ti]+ (g),[47Ti]+ (g),47Ti,1.00E-16
[48Ti]+ (g),[48Ti]+ (g),48Ti,1.00E-16
[49Ti]+ (g),[49Ti]+ (g),49Ti,1.00E-16
[51V]+ (g),[51V]+ (g),,1.00E-16
[52Cr]+ (g),[52Cr]+ (g),,1.00E-16
[55Mn]+ (g),[55Mn]+ (g),,1.00E-16
[56Fe]+ (g),[56Fe]+ (g),,1.00E-16
[57Fe]+ (g),,,1.00E-16
[58Ni]+ (g),[58Ni]+ (g),,1.00E-16
[59Co]+ (g),[59Co]+ (g),,1.00E-16
[60Ni]+ (g),,,1.00E-16
[63Cu]+ (g),[63Cu]+ (g),,1.00E-16
[64Zn]+ (g),[64Zn]+ (g),,1.00E-16
[65Cu]+ (g),,,1.00E-16
[66Zn]+ (g),,,1.00E-16
[69Ga]+ (g),[69Ga]+ (g),,1.00E-16
[72Ge]+ (g),[72Ge]+ (g),,1.00E-16
[75As]+ (g),[75As]+ (g),,1.00E-16
[88Sr]+ (g),[88Sr]+ (g),,1.00E-16
[89Y]+ (g),[89Y]+ (g),,1.00E-16
[90Zr]+ (g),[90Zr]+ (g),,1.00E-16
[93Nb]+ (g),[93Nb]+ (g),,1.00E-16
[98Mo]+ (g),[98Mo]+ (g),,1.00E-16
[102Ru]+ (g),,,1.00E-16
[103Rh]+ (g),,,1.00E-16
[106Pd]+ (g),,,1.00E-16
[107Ag]+ (g),[107Ag]+ (g),,1.00E-16
[108Pd]+ (g),,,1.00E-16
[111Cd]+ (g),[111Cd]+ (g),,1.00E-16
[114Cd]+ (g),,,1.00E-16
[118Sn]+ (g),[118Sn]+ (g),,1.00E-16
[120Sn]+ (g),,,1.00E-16
[121Sb]+ (g),[121Sb]+ (g),,1.00E-16
[138Ba]+ (g),[138Ba]+ (g),,1.00E-16
[139La]+ (g),,,1.00E-16
[140Ce]+ (g),[140Ce]+ (g),,1.00E-16
[141Pr]+ (g),[141Pr]+ (g),,1.00E-16
[142Nd]+ (g),,,1.00E-16
[146Nd]+ (g),,,1.00E-16
[152Sm]+ (g),[152Sm]+ (g),,1.00E-16
[153Eu]+ (g),,,1.00E-16
[158Gd]+ (g),[158Gd]+ (g),,1.00E-16
[159Tb]+ (g),[159Tb]+ (g),,1.00E-16
[164Dy]+ (g),[164Dy]+ (g),,1.00E-16
[165Ho]+ (g),[165Ho]+ (g),,1.00E-16
[166Er]+ (g),[166Er]+ (g),,1.00E-16
[169Tm]+ (g),[169Tm]+ (g),,1.00E-16
[174Yb]+ (g),[174Yb]+ (g),,1.00E-16
[175Lu]+ (g),[175Lu]+ (g),,1.00E-16
[180Hf]+ (g),[180Hf]+ (g),,1.00E-16
[181Ta]+ (g),[181Ta]+ (g),,1.00E-16
[184W]+ (g),[184W]+ (g),,1.00E-16
[185Re]+ (g),[185Re]+ (g),,1.00E-16
[186W]+ (g),,,1.00E-16
[187Re]+ (g),,,1.00E-16
[192Os]+ (g),,,1.00E-16
[193Ir]+ (g),,,1.00E-16
[194Pt]+ (g),,,1.00E-16
[195Pt]+ (g),,,1.00E-16
[197Au]+ (g),,,1.00E-16
[198Pt]+ (g),,,1.00E-16
[208Pb]+ (g),[208Pb]+ (g),,1.00E-16
[209Bi]+ (g),[209Bi]+ (g),,1.00E-16
[232Th]+ (g),[232Th]+ (g),,1.00E-16
[238U]+ (g),[238U]+ (g),,1.00E-16
